idiom	example	meaning	origin	used_at	pronunciation_audio	tags	slugs
A blessing in disguise	["Breaking%20my%20arm%20was%20a%20blessing%20in%20disguise.%20I%20married%20the%20nurse.","Being%20caught%20in%20that%20traffic%20jam%20was%20a%20blessing%20in%20disguise.%20If%20I%20hadn%27t%20missed%20the%20flight%2C%20I%20would%20have%20been%20on%20that%20plane%20when%20it%20crashed.","His%20accident%20was%20a%20blessing%20in%20disguise%20because%20it%20gave%20him%20lots%20of%20time%20to%20think%20about%20his%20life%20while%20he%20was%20recovering%2C%20and%20as%20a%20result%20he%20made%20some%20important%20changes%20that%20improved%20his%20life."]	["An%20apparent%20misfortune%20that%20works%20to%20the%20eventual%20benefit%20of%20the%20recipient.","You%20can%20say%20something%20is%20a%20blessing%20in%20disguise%20if%20it%20appears%20to%20be%20bad%20at%20first%2C%20but%20it%20results%20in%20something%20very%20good%20in%20the%20end."]	The United Kingdom.	Widely used.	https://www.phrases.org.uk/idioms/audio/a-blessing-in-disguise.mp3	luck,happiness,B	a blessing in disguise
A bull and cow	["They%20were%20shouting%20and%20screaming%20at%20each%20other%20-%20a%20real%20bull%20and%20cow."]	["Cockney%20rhyming%20slang%20for%20a%20row%20or%20argument."]	The United Kingdom.	Mostly in the UK, but occasionally elsewhere too.	https://www.phrases.org.uk/idioms/audio/a-bull-and-cow.mp3	conflict,cockney_rhyming_slang,animals	a bull and cow
A bunch of fives	["Punch%20me%20would%20you%3F%20How%E2%80%99d%20you%20like%20a%20bunch%20of%20fives%20in%20your%20eye%3F"]	["A%20fist%2C%20as%20used%20in%20a%20fight."]	The United Kingdom.	Mostly in the UK, but occasionally elsewhere too.	https://www.phrases.org.uk/idioms/audio/a-bunch-of-fives.mp3	conflict,the_human_body,slang	a bunch of fives
a chip off the old block	["Everyone%20says%20I%27m%20a%20chip%20off%20the%20old%20block%2C%20but%20I%20think%20I%27m%20very%20different%20to%20my%20dad.","Jenny%27s%20a%20real%20chip%20off%20the%20old%20block.%20She%20must%20have%20been%20very%20close%20to%20her%20father%20when%20she%20was%20young."]	["Someone%20can%20be%20described%20as%20a%20chip%20off%20the%20old%20block%20if%20they%20are%20very%20similar%20in%20character%20to%20one%20of%20their%20parents%2C%20usually%20their%20father.",""]	NA	NA	NA	C	a chip off the old block
A chip on your shoulder	["He%E2%80%99s%20the%20only%20cabinet%20minister%20that%20didn%E2%80%99t%20go%20to%20Eton%20and%20it%E2%80%99s%20given%20him%20a%20bit%20of%20a%20chip%20on%20his%20shoulder."]	["A%20sense%20of%20inferiority%20characterized%20by%20a%20quickness%20to%20take%20offence."]	USA.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-chip-on-your-shoulder.mp3	the_human_body,emotion,america	a chip on your shoulder
a couch potato	["Since%20he%20lost%20his%20job%2C%20Marty%20has%20become%20a%20couch%20potato.","How%20can%20you%20expect%20to%20feel%20good%20and%20look%20good%20if%20you%27re%20a%20couch%20potato%3F%20If%20you%20turn%20off%20the%20TV%2C%20get%20some%20exercise%2C%20and%20eat%20healthy%20food%2C%20you%27ll%20soon%20look%20good%20and%20feel%20great."]	["You%20can%20say%20someone%27s%20a%20couch%20potato%20if%20they%27re%20very%20lazy%20and%20they%20spend%20a%20lot%20of%20time%20sitting%20around%20watching%20TV%20and%20eating%20junk%20food.",""]	NA	NA	NA	C,Food	a couch potato
A diamond in the rough (a.k.a rough diamond )	["He%E2%80%99d%20been%20in%20jail%20several%20times%20for%20fraud%20but%20when%20he%20found%20my%20lost%20wallet%20he%20returned%20it.%20A%20rough%20diamond%20if%20there%20ever%20was%20one."]	["A%20person%20or%20thing%20having%20good%20underlying%20qualities%20while%20appearing%20to%20be%20coarse%20and%20unpolished."]	The United Kingdom.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-diamond-in-the-rough.mp3	crime	a diamond in the rough
A dime a dozen	["Red%20buses%20in%20London.%20they%E2%80%99re%20a%20dime%20a%20dozen."]	["So%20commonplace%20as%20to%20be%20of%20little%20consequence."]	USA.	Worldwide.	NA	money,number,america	a dime a dozen
a done deal	["It%27s%20a%20done%20deal%20so%20we%20can%20go%20ahead%20and%20start%20planning%20the%20details.","No-one%20knew%20about%20it%2C%20but%20the%20contract%20has%20been%20a%20done%20deal%20since%20the%20senator%20spoke%20to%20the%20minister%20last%20month."]	["A%20done%20deal%20is%20an%20agreement%20or%20a%20decision%20that%20is%20final.",""]	NA	NA	NA	American,D	a done deal
A doubting Thomas	["I%20told%20him%20he%20would%20need%20a%20raincoat%20but%2C%20doubting%20Thomas%20that%20he%20his%2C%20he%20had%20to%20check%20the%20forecast%20for%20himself."]	["A%20sceptic%20who%20won%E2%80%99t%20accept%20a%20widely%20believed%20truth%20until%20seeing%20the%20evidence%20in%20person."]	From the Biblical story of Thomas, the apostle who doubted Jesus' resurrection.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-doubting-thomas.mp3	religion,name	a doubting thomas
