idiom	meaning	example	origin	used_at	pronunciation_audio	tags	slugs	meaning encoded	example encoded
labour of love | labor of love	["A labour of love is work that's done for pleasure or for someone's benefit rather than for money.",""]	["Hiroko's website was a labour of love that he made so that people could learn about jazz and blues music.","Bill would never waste his time on a labor of love. He's only interested in making money."]				l	labour of love,labor of love	["A%20labour%20of%20love%20is%20work%20that%27s%20done%20for%20pleasure%20or%20for%20someone%27s%20benefit%20rather%20than%20for%20money.",""]	["Hiroko%27s%20website%20was%20a%20labour%20of%20love%20that%20he%20made%20so%20that%20people%20could%20learn%20about%20jazz%20and%20blues%20music.","Bill%20would%20never%20waste%20his%20time%20on%20a%20labor%20of%20love.%20He%27s%20only%20interested%20in%20making%20money."]
Lame duck	["A person or thing that is no longer properly able to function. Also, more specifically, a person in authority, for example a president or prime minister, in their final period of office after a successor has already been elected."]	["The boss is pretty much a lame duck now that he's announced his retirement and we know he won't be here next month."]	Britain - 18th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/lame-duck.mp3	animals	lame duck	["A%20person%20or%20thing%20that%20is%20no%20longer%20properly%20able%20to%20function.%20Also%2C%20more%20specifically%2C%20a%20person%20in%20authority%2C%20for%20example%20a%20president%20or%20prime%20minister%2C%20in%20their%20final%20period%20of%20office%20after%20a%20successor%20has%20already%20been%20elected."]	["The%20boss%20is%20pretty%20much%20a%20lame%20duck%20now%20that%20he%27s%20announced%20his%20retirement%20and%20we%20know%20he%20won%27t%20be%20here%20next%20month."]
Last but not least	["An introduction, intended to let the audience know that the last person mentioned is not the least important."]	["We've heard from Paul McCartney and George Clooney, and now, least but not least, Marlon Brando."]	Britain, 16th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/last-but-not-least.mp3	theatre	last but not least	["An%20introduction%2C%20intended%20to%20let%20the%20audience%20know%20that%20the%20last%20person%20mentioned%20is%20not%20the%20least%20important."]	["We%27ve%20heard%20from%20Paul%20McCartney%20and%20George%20Clooney%2C%20and%20now%2C%20least%20but%20not%20least%2C%20Marlon%20Brando."]
lay down the law	["If you lay down the law, you tell people what they should do in a forceful and stern way.",""]	["After we lost our third game in a row, our coach got really angry and laid down the law and said we had to try harder or we'd be out the door.","Shelley's parents laid down the law after she got home late and grounded her for a month."]				l,law	lay down the law	["If%20you%20lay%20down%20the%20law%2C%20you%20tell%20people%20what%20they%20should%20do%20in%20a%20forceful%20and%20stern%20way.",""]	["After%20we%20lost%20our%20third%20game%20in%20a%20row%2C%20our%20coach%20got%20really%20angry%20and%20laid%20down%20the%20law%20and%20said%20we%20had%20to%20try%20harder%20or%20we%27d%20be%20out%20the%20door.","Shelley%27s%20parents%20laid%20down%20the%20law%20after%20she%20got%20home%20late%20and%20grounded%20her%20for%20a%20month."]
lead the way	["If you lead the way, you show others where to go or what to do.",""]	["When it came to exploring new directions in popular music, the Beatles definitely led the way.","We should ask Carlos to lead the way. He knows this area better than any of us."]				l	lead the way	["If%20you%20lead%20the%20way%2C%20you%20show%20others%20where%20to%20go%20or%20what%20to%20do.",""]	["When%20it%20came%20to%20exploring%20new%20directions%20in%20popular%20music%2C%20the%20Beatles%20definitely%20led%20the%20way.","We%20should%20ask%20Carlos%20to%20lead%20the%20way.%20He%20knows%20this%20area%20better%20than%20any%20of%20us."]
lead you astray	["If someone leads you astray, they set a bad example and you behave badly also, or they encourage you to do the wrong thing.",""]	["We're worried about our teenage son because he's at that age when he could easily be led astray by kids he thinks are cool and who could expose him to drugs or alcohol or other bad stuff.","Carlos says advertisements lead millions of people astray and make them waste their lives chasing after material possessions in the false belief that they can't possibly be happy unless they get these things."]				l	lead you astray	["If%20someone%20leads%20you%20astray%2C%20they%20set%20a%20bad%20example%20and%20you%20behave%20badly%20also%2C%20or%20they%20encourage%20you%20to%20do%20the%20wrong%20thing.",""]	["We%27re%20worried%20about%20our%20teenage%20son%20because%20he%27s%20at%20that%20age%20when%20he%20could%20easily%20be%20led%20astray%20by%20kids%20he%20thinks%20are%20cool%20and%20who%20could%20expose%20him%20to%20drugs%20or%20alcohol%20or%20other%20bad%20stuff.","Carlos%20says%20advertisements%20lead%20millions%20of%20people%20astray%20and%20make%20them%20waste%20their%20lives%20chasing%20after%20material%20possessions%20in%20the%20false%20belief%20that%20they%20can%27t%20possibly%20be%20happy%20unless%20they%20get%20these%20things."]
learn the ropes	["If you learn the ropes, you learn how to do a job properly, or how things work and how to get things done.",""]	["Ruth will teach you what to do, and it shouldn't take you too long to learn the ropes.","It can take quite a while for a new lawyer to learn the ropes in a big legal firm."]	Possibly derived from the days of sailing ships when sailors learned how to tie knots and handle ropes that were attached to the sails. A sailor who was learning all this was said to be "learning the ropes".			l	learn the ropes	["If%20you%20learn%20the%20ropes%2C%20you%20learn%20how%20to%20do%20a%20job%20properly%2C%20or%20how%20things%20work%20and%20how%20to%20get%20things%20done.",""]	["Ruth%20will%20teach%20you%20what%20to%20do%2C%20and%20it%20shouldn%27t%20take%20you%20too%20long%20to%20learn%20the%20ropes.","It%20can%20take%20quite%20a%20while%20for%20a%20new%20lawyer%20to%20learn%20the%20ropes%20in%20a%20big%20legal%20firm."]
learn your lesson	["If you learn your lesson, you learn something about life from making a mistake.",""]	["After being arrested for drunk driving, Charlie said he'd learned his lesson and promised never to drink and drive again.","This is the third job Emma's lost for coming in late. You'd think she'd have learned her lesson by now."]				l	learn your lesson	["If%20you%20learn%20your%20lesson%2C%20you%20learn%20something%20about%20life%20from%20making%20a%20mistake.",""]	["After%20being%20arrested%20for%20drunk%20driving%2C%20Charlie%20said%20he%27d%20learned%20his%20lesson%20and%20promised%20never%20to%20drink%20and%20drive%20again.","This%20is%20the%20third%20job%20Emma%27s%20lost%20for%20coming%20in%20late.%20You%27d%20think%20she%27d%20have%20learned%20her%20lesson%20by%20now."]
leave no stone unturned	["If you leave no stone unturned, you look everywhere in order to find something, or try everything in order to achieve something.",""]	["Ari has left no stone unturned in her search for a job in television, but so far she hasn't had any luck.","The leaders of the countries involved in the dispute claim they've left no stone unturned in their quest for a peaceful solution."]				l	leave no stone unturned	["If%20you%20leave%20no%20stone%20unturned%2C%20you%20look%20everywhere%20in%20order%20to%20find%20something%2C%20or%20try%20everything%20in%20order%20to%20achieve%20something.",""]	["Ari%20has%20left%20no%20stone%20unturned%20in%20her%20search%20for%20a%20job%20in%20television%2C%20but%20so%20far%20she%20hasn%27t%20had%20any%20luck.","The%20leaders%20of%20the%20countries%20involved%20in%20the%20dispute%20claim%20they%27ve%20left%20no%20stone%20unturned%20in%20their%20quest%20for%20a%20peaceful%20solution."]
leave well enough alone | let well enough alone	["If you leave well enough alone, or let well enough alone, you don't try to improve or change something that's already good enough.",""]	["The kids seem happy enough now so let's just leave well enough alone and forget about finding a new school for them.","Unless there's a problem, I'd suggest you just let well enough alone and let your staff get on with their work."]				american,l	leave well enough alone,let well enough alone	["If%20you%20leave%20well%20enough%20alone%2C%20or%20let%20well%20enough%20alone%2C%20you%20don%27t%20try%20to%20improve%20or%20change%20something%20that%27s%20already%20good%20enough.",""]	["The%20kids%20seem%20happy%20enough%20now%20so%20let%27s%20just%20leave%20well%20enough%20alone%20and%20forget%20about%20finding%20a%20new%20school%20for%20them.","Unless%20there%27s%20a%20problem%2C%20I%27d%20suggest%20you%20just%20let%20well%20enough%20alone%20and%20let%20your%20staff%20get%20on%20with%20their%20work."]
Lend me your ear	["Politely ask for someones full attention."]	["Hey, lend an ear to this - Suzy is getting married."]	Britain. From Shakespeare's Julius Caesar.	Worldwide.	https://www.phrases.org.uk/idioms/audio/lend-me-your-ear.mp3	the_human_body	lend me your ear	["Politely%20ask%20for%20someones%20full%20attention."]	["Hey%2C%20lend%20an%20ear%20to%20this%20-%20Suzy%20is%20getting%20married."]
lend someone a hand	["If you lend someone a hand, you help them.",""]	["Could you lend me a hand with these bags?","Sue's husband is amazing. He'll even lend a hand in the kitchen when she's cooking for a dinner party!"]				body,l	lend someone a hand	["If%20you%20lend%20someone%20a%20hand%2C%20you%20help%20them.",""]	["Could%20you%20lend%20me%20a%20hand%20with%20these%20bags%3F","Sue%27s%20husband%20is%20amazing.%20He%27ll%20even%20lend%20a%20hand%20in%20the%20kitchen%20when%20she%27s%20cooking%20for%20a%20dinner%20party%21"]
Let's rewind	["A suggestion that the thing under consideration has gone along unproductive lines and should be looked at again from the beginning."]	["Okay, we are really lost now. Let's rewind and start the journey again using the sat nav."]		Worldwide.	https://www.phrases.org.uk/idioms/audio/lets-rewind.mp3		let's rewind	["A%20suggestion%20that%20the%20thing%20under%20consideration%20has%20gone%20along%20unproductive%20lines%20and%20should%20be%20looked%20at%20again%20from%20the%20beginning."]	["Okay%2C%20we%20are%20really%20lost%20now.%20Let%27s%20rewind%20and%20start%20the%20journey%20again%20using%20the%20sat%20nav."]
Let bygones be bygones	["Allow a disagreement or argument to be put in the past."]	["I never thought I'd be saying this after you slept with my wife, but that was thirty years ago, let's let bygones be bygones."]	Britain, 16th century proverb	Worldwide.	https://www.phrases.org.uk/idioms/audio/let-bygones-be-bygones.mp3	time,proverbial	let bygones be bygones	["Allow%20a%20disagreement%20or%20argument%20to%20be%20put%20in%20the%20past."]	["I%20never%20thought%20I%27d%20be%20saying%20this%20after%20you%20slept%20with%20my%20wife%2C%20but%20that%20was%20thirty%20years%20ago%2C%20let%27s%20let%20bygones%20be%20bygones."]
let off steam	["If you let off steam, you do something to release pent-up emotion or energy.",""]	["After sitting quietly in class all morning, kids need time to let off steam in the playground before going back to class in the afternoon.","It'd be good to have a punching bag somewhere in the office so we could let off steam whenever we get a bit angry or frustrated."]	This idiom probably comes from the fact that boiling water produces steam which creates high pressure that will cause an explosion if it isn't released somehow.			l	let off steam	["If%20you%20let%20off%20steam%2C%20you%20do%20something%20to%20release%20pent-up%20emotion%20or%20energy.",""]	["After%20sitting%20quietly%20in%20class%20all%20morning%2C%20kids%20need%20time%20to%20let%20off%20steam%20in%20the%20playground%20before%20going%20back%20to%20class%20in%20the%20afternoon.","It%27d%20be%20good%20to%20have%20a%20punching%20bag%20somewhere%20in%20the%20office%20so%20we%20could%20let%20off%20steam%20whenever%20we%20get%20a%20bit%20angry%20or%20frustrated."]
Let sleeping dogs lie	["Avoid restarting a conflict."]	["I knew he was stealing from me but, he is proud and he really needs the money. I preferred to let sleeping dogs lie and to say nothing."]	Britain. 19th century but much earlier as a similarly-worded proverb.	Worldwide, but like many proverbs, now considered rather old-fashioned.	https://www.phrases.org.uk/idioms/audio/let-sleeping-dogs-lie.mp3	animals,proverbial	let sleeping dogs lie	["Avoid%20restarting%20a%20conflict."]	["I%20knew%20he%20was%20stealing%20from%20me%20but%2C%20he%20is%20proud%20and%20he%20really%20needs%20the%20money.%20I%20preferred%20to%20let%20sleeping%20dogs%20lie%20and%20to%20say%20nothing."]
Let the cat out of the bag	["Share a secret that wasn't intended to be shared.","If you let the cat out of the bag, you let someone know a secret."]	["I thought Mom already knew Jenny was pregnant. She was furious when I mentioned her pre-natal check and let the cat out of the bag.","We'd planned a surprise party for Donna, but some guy she works with let the cat out of the bag, so now she knows.","Don't forget that this is a secret, so whatever you do, don't let the cat out of the bag."]	Britain, 18th century. Possibly related to the fact that in England in the Middle Ages, piglets were usually sold in bags at markets. Sometimes, someone would try to cheat a buyer by putting a cat in one of the bags instead of a piglet. And if someone let the cat out of the bag, the fraudster's secret was revealed.	Worldwide.	https://www.phrases.org.uk/idioms/audio/let-the-cat-out-of-the-bag.mp3	animals,secrets,animals,l	let the cat out of the bag	["Share%20a%20secret%20that%20wasn%27t%20intended%20to%20be%20shared.","If%20you%20let%20the%20cat%20out%20of%20the%20bag%2C%20you%20let%20someone%20know%20a%20secret."]	["I%20thought%20Mom%20already%20knew%20Jenny%20was%20pregnant.%20She%20was%20furious%20when%20I%20mentioned%20her%20pre-natal%20check%20and%20let%20the%20cat%20out%20of%20the%20bag.","We%27d%20planned%20a%20surprise%20party%20for%20Donna%2C%20but%20some%20guy%20she%20works%20with%20let%20the%20cat%20out%20of%20the%20bag%2C%20so%20now%20she%20knows.","Don%27t%20forget%20that%20this%20is%20a%20secret%2C%20so%20whatever%20you%20do%2C%20don%27t%20let%20the%20cat%20out%20of%20the%20bag."]
Let your hair down	["Behave in a free an uninhibited manner. Usually applied to women.","If you let your hair down, you enjoy yourself by doing whatever you feel like doing and not worrying about what other people might think."]	["Its Sharon's hen party tonight - the girls are really going to let their hair down.","It's hard to imagine Francine letting her hair down and having fun, but Helen said she's like another person when she's not at work. She's funny and lively and she knows how to have a good time.","Come on, George! It's Saturday night so why don't you stop being so serious and sensible and let your hair down for a change?"]	Britain, 17th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/let-your-hair-down.mp3	hair,excess,body,l	let your hair down	["Behave%20in%20a%20free%20an%20uninhibited%20manner.%20Usually%20applied%20to%20women.","If%20you%20let%20your%20hair%20down%2C%20you%20enjoy%20yourself%20by%20doing%20whatever%20you%20feel%20like%20doing%20and%20not%20worrying%20about%20what%20other%20people%20might%20think."]	["Its%20Sharon%27s%20hen%20party%20tonight%20-%20the%20girls%20are%20really%20going%20to%20let%20their%20hair%20down.","It%27s%20hard%20to%20imagine%20Francine%20letting%20her%20hair%20down%20and%20having%20fun%2C%20but%20Helen%20said%20she%27s%20like%20another%20person%20when%20she%27s%20not%20at%20work.%20She%27s%20funny%20and%20lively%20and%20she%20knows%20how%20to%20have%20a%20good%20time.","Come%20on%2C%20George%21%20It%27s%20Saturday%20night%20so%20why%20don%27t%20you%20stop%20being%20so%20serious%20and%20sensible%20and%20let%20your%20hair%20down%20for%20a%20change%3F"]
Level playing field	["Fair competition where no side has an advantage."]	["There were six of them and only four of us, so it wasn't really a level playing field."]	USA, 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/level-playing-field.mp3	sport,nature,america	level playing field	["Fair%20competition%20where%20no%20side%20has%20an%20advantage."]	["There%20were%20six%20of%20them%20and%20only%20four%20of%20us%2C%20so%20it%20wasn%27t%20really%20a%20level%20playing%20field."]
life of the party | life and soul of the party	["If you are the life of the party, or the life and soul of the party, you are the liveliest and most entertaining person at a social gathering.",""]	["Harry is normally pretty quiet, but after he's had a few beers he becomes the life of the party.","Don't forget to invite your brother. He's always the life and soul of the party."]				l	life of the party,life and soul of the party	["If%20you%20are%20the%20life%20of%20the%20party%2C%20or%20the%20life%20and%20soul%20of%20the%20party%2C%20you%20are%20the%20liveliest%20and%20most%20entertaining%20person%20at%20a%20social%20gathering.",""]	["Harry%20is%20normally%20pretty%20quiet%2C%20but%20after%20he%27s%20had%20a%20few%20beers%20he%20becomes%20the%20life%20of%20the%20party.","Don%27t%20forget%20to%20invite%20your%20brother.%20He%27s%20always%20the%20life%20and%20soul%20of%20the%20party."]
light at the end of the tunnel	["If you can see light at the end of the tunnel, you can see some sign of the end of a difficult period.",""]	["After the leaders met for talks, people are seeing light at the end of the tunnel for the first time since the war began.","Even if you can't see any light at the end of the tunnel yet, don't give up. Things will eventually get better."]				l,structures	light at the end of the tunnel	["If%20you%20can%20see%20light%20at%20the%20end%20of%20the%20tunnel%2C%20you%20can%20see%20some%20sign%20of%20the%20end%20of%20a%20difficult%20period.",""]	["After%20the%20leaders%20met%20for%20talks%2C%20people%20are%20seeing%20light%20at%20the%20end%20of%20the%20tunnel%20for%20the%20first%20time%20since%20the%20war%20began.","Even%20if%20you%20can%27t%20see%20any%20light%20at%20the%20end%20of%20the%20tunnel%20yet%2C%20don%27t%20give%20up.%20Things%20will%20eventually%20get%20better."]
Like a chicken with its head cut off	["In a frenzied manner."]	["He was shouting and swearing because they had lost the contract - he was running around like a chicken with its head cut off."]	USA, late 19th century.	Worldwide, but not particularly common.	https://www.phrases.org.uk/idioms/audio/like-a-chicken-with-its-head-cut-off.mp3	emotion,animals,excess,hyperbole,madness,a	like a chicken with its head cut off	["In%20a%20frenzied%20manner."]	["He%20was%20shouting%20and%20swearing%20because%20they%20had%20lost%20the%20contract%20-%20he%20was%20running%20around%20like%20a%20chicken%20with%20its%20head%20cut%20off."]
like a fish out of water	["You feel like a fish out of water if you're surrounded by people who are different to you, and it's making you feel a little uncomfortable.",""]	["I was the only black person in a church full of white people, and I felt like a fish out of water at first. But lots of people came up and talked to me after the service, and I soon felt quite at home.","Sayoko travels to a lot of unusual places. She says feeling like a fish out of water is sometimes interesting."]				animals,l	like a fish out of water	["You%20feel%20like%20a%20fish%20out%20of%20water%20if%20you%27re%20surrounded%20by%20people%20who%20are%20different%20to%20you%2C%20and%20it%27s%20making%20you%20feel%20a%20little%20uncomfortable.",""]	["I%20was%20the%20only%20black%20person%20in%20a%20church%20full%20of%20white%20people%2C%20and%20I%20felt%20like%20a%20fish%20out%20of%20water%20at%20first.%20But%20lots%20of%20people%20came%20up%20and%20talked%20to%20me%20after%20the%20service%2C%20and%20I%20soon%20felt%20quite%20at%20home.","Sayoko%20travels%20to%20a%20lot%20of%20unusual%20places.%20She%20says%20feeling%20like%20a%20fish%20out%20of%20water%20is%20sometimes%20interesting."]
Link farm	["A website that exists primarily to display links to another website, with the intention of improving the search status of the second site."]	["That site is just a list of links to Jim's Facebook page. Google will spot that as a link farm for sure."]	USA.	Mostly among the younger generation.	https://www.phrases.org.uk/idioms/audio/link-farm.mp3	technology,america	link farm	["A%20website%20that%20exists%20primarily%20to%20display%20links%20to%20another%20website%2C%20with%20the%20intention%20of%20improving%20the%20search%20status%20of%20the%20second%20site."]	["That%20site%20is%20just%20a%20list%20of%20links%20to%20Jim%27s%20Facebook%20page.%20Google%20will%20spot%20that%20as%20a%20link%20farm%20for%20sure."]
Link rot	["The tendency of WWW addresses to become out of date and point to unavailable pages."]	["That website's not been edited for years, there are dead link rot links all over it."]	USA.	Mostly among the younger generation.	https://www.phrases.org.uk/idioms/audio/link-rot.mp3	technology,america	link rot	["The%20tendency%20of%20WWW%20addresses%20to%20become%20out%20of%20date%20and%20point%20to%20unavailable%20pages."]	["That%20website%27s%20not%20been%20edited%20for%20years%2C%20there%20are%20dead%20link%20rot%20links%20all%20over%20it."]
Liquor up	["To supply or to drink alcoholic drink."]	["They decided to get liquored up in the pub, even before they got to the party."]	Britain, 16th century (to supply liquor). USA, 19th century (to drink liquor).	Worldwide, but not commonly used everywhere.	https://www.phrases.org.uk/idioms/audio/liquor-someone-up.mp3	food,drink,america	liquor up	["To%20supply%20or%20to%20drink%20alcoholic%20drink."]	["They%20decided%20to%20get%20liquored%20up%20in%20the%20pub%2C%20even%20before%20they%20got%20to%20the%20party."]
Little devil!	["An exclamation of surprise and annoyance, directed at someone who has behaved badly or performed some kind of prank. Often applied to children."]	["Do you know what those little devils from next door have done now? They've tied the doorknob to the gatepost and I can't get out."]	Britain - 17th century.	Mostly Britain, but used occasionally elsewhere too.	https://www.phrases.org.uk/idioms/audio/little-devil.mp3	childhood	little devil	["An%20exclamation%20of%20surprise%20and%20annoyance%2C%20directed%20at%20someone%20who%20has%20behaved%20badly%20or%20performed%20some%20kind%20of%20prank.%20Often%20applied%20to%20children."]	["Do%20you%20know%20what%20those%20little%20devils%20from%20next%20door%20have%20done%20now%3F%20They%27ve%20tied%20the%20doorknob%20to%20the%20gatepost%20and%20I%20can%27t%20get%20out."]
Little fish in a big pond	["Someone considered unimportant compared to their more significant peers."]	["Jimmy's first school only had seven pupils and he was the star, but when he got to high-school he was a little fish in a big pond."]	USA, early 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/little-fish-in-a-big-pond.mp3	animals,nature,water,america	little fish in a big pond	["Someone%20considered%20unimportant%20compared%20to%20their%20more%20significant%20peers."]	["Jimmy%27s%20first%20school%20only%20had%20seven%20pupils%20and%20he%20was%20the%20star%2C%20but%20when%20he%20got%20to%20high-school%20he%20was%20a%20little%20fish%20in%20a%20big%20pond."]
live it up	["If you live it up, you enjoy yourself by doing things that cost a lot of money.",""]	["We only live once, so let's live it up and have fun!","Whenever the sailors come to port, they go out every night and really live it up."]				l	live it up	["If%20you%20live%20it%20up%2C%20you%20enjoy%20yourself%20by%20doing%20things%20that%20cost%20a%20lot%20of%20money.",""]	["We%20only%20live%20once%2C%20so%20let%27s%20live%20it%20up%20and%20have%20fun%21","Whenever%20the%20sailors%20come%20to%20port%2C%20they%20go%20out%20every%20night%20and%20really%20live%20it%20up."]
live on your wits | live by your wits	["If you live on your wits, or live by your wits, you don't have a regular job but you survive by cleverly manipulating people or situations.",""]	["These homeless kids have to learn how to live on their wits, and a lot of them are very smart.","Kyle is a very good businessman, but he never went to university. He says he learned most of his business skills when he was young and still living by his wits."]				l	live on your wits,live by your wits	["If%20you%20live%20on%20your%20wits%2C%20or%20live%20by%20your%20wits%2C%20you%20don%27t%20have%20a%20regular%20job%20but%20you%20survive%20by%20cleverly%20manipulating%20people%20or%20situations.",""]	["These%20homeless%20kids%20have%20to%20learn%20how%20to%20live%20on%20their%20wits%2C%20and%20a%20lot%20of%20them%20are%20very%20smart.","Kyle%20is%20a%20very%20good%20businessman%2C%20but%20he%20never%20went%20to%20university.%20He%20says%20he%20learned%20most%20of%20his%20business%20skills%20when%20he%20was%20young%20and%20still%20living%20by%20his%20wits."]
Loaf of bread	["Cockney rhyming slang for head."]	["Betting your wages on the toss of a coin isn't the best way to get out of debt - use your loaf mate."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/loaf-of-bread.mp3	the_human_body,food,cockney_rhyming_slang	loaf of bread	["Cockney%20rhyming%20slang%20for%20head."]	["Betting%20your%20wages%20on%20the%20toss%20of%20a%20coin%20isn%27t%20the%20best%20way%20to%20get%20out%20of%20debt%20-%20use%20your%20loaf%20mate."]
lock, stock and barrel	["You can say \"lock, stock and barrel\" to mean every single thing when you're talking about a collection of things.",""]	["We're going to move, lock, stock and barrel, to Spain and begin a new life there.","My friend William has decided to sell everything he's got - lock, stock and barrel - and become a Buddhist monk."]				l	lock, stock and barrel	["You%20can%20say%20%5C%22lock%2C%20stock%20and%20barrel%5C%22%20to%20mean%20every%20single%20thing%20when%20you%27re%20talking%20about%20a%20collection%20of%20things.",""]	["We%27re%20going%20to%20move%2C%20lock%2C%20stock%20and%20barrel%2C%20to%20Spain%20and%20begin%20a%20new%20life%20there.","My%20friend%20William%20has%20decided%20to%20sell%20everything%20he%27s%20got%20-%20lock%2C%20stock%20and%20barrel%20-%20and%20become%20a%20Buddhist%20monk."]
Long in the tooth	["Old."]	["They say sixty is the new forty, but it still sounds pretty long in the tooth to me."]	Britain, 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/long-in-the-tooth.mp3	body	long in the tooth	["Old."]	["They%20say%20sixty%20is%20the%20new%20forty%2C%20but%20it%20still%20sounds%20pretty%20long%20in%20the%20tooth%20to%20me."]
Loose cannon	["Someone who is unpredictable and can cause damage by being reckless."]	["These negotiations with the Chinese are at a critical stage. Keep Jack out of it, he's just the sort of loose cannon that would say the wrong thing and upset them."]	Britain. 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/loose-cannon.mp3	military	loose cannon	["Someone%20who%20is%20unpredictable%20and%20can%20cause%20damage%20by%20being%20reckless."]	["These%20negotiations%20with%20the%20Chinese%20are%20at%20a%20critical%20stage.%20Keep%20Jack%20out%20of%20it%2C%20he%27s%20just%20the%20sort%20of%20loose%20cannon%20that%20would%20say%20the%20wrong%20thing%20and%20upset%20them."]
Lord Fred	["Cockney rhyming slang for bed."]	["The hamster escaped and the cat got it - it's Lord Fred for sure."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/lord-fred.mp3	death,cockney_rhyming_slang,name	lord fred	["Cockney%20rhyming%20slang%20for%20bed."]	["The%20hamster%20escaped%20and%20the%20cat%20got%20it%20-%20it%27s%20Lord%20Fred%20for%20sure."]
lose face	["If you lose face, your status falls and you aren't   respected as much as you were.",""]	["A good manager can let someone know they've made a mistake without causing them to lose face.","Ali's spoken English isn't improving because he thinks he'll lose face if he makes a mistake, so he never says anything. And of course the only way to get better at speaking is to practise."]	This idiom originated in the Chinese term "tiu lien" which translates literally as "lose face". The term expresses the concept of losing the respect of others, especially in public, which is very important in many Asian cultures. The term has been used in English since the late 1800s after being introduced to English by the British consular official Sir Robert			body,l	lose face	["If%20you%20lose%20face%2C%20your%20status%20falls%20and%20you%20aren%27t%20%20%20respected%20as%20much%20as%20you%20were.",""]	["A%20good%20manager%20can%20let%20someone%20know%20they%27ve%20made%20a%20mistake%20without%20causing%20them%20to%20lose%20face.","Ali%27s%20spoken%20English%20isn%27t%20improving%20because%20he%20thinks%20he%27ll%20lose%20face%20if%20he%20makes%20a%20mistake%2C%20so%20he%20never%20says%20anything.%20And%20of%20course%20the%20only%20way%20to%20get%20better%20at%20speaking%20is%20to%20practise."]
Lose your head	["Overcome by emotion and out of control.","If you lose your head, you become very angry about something."]	["When the traffic warden had his car towed, Jack lost his head and hit him.","When some people at the hospital said they wouldn't help my injured friend because he didn't have his ID card, I lost my head and shouted, \"What's wrong with you people? He's dying!\"","If you're in a government office and an official is making life difficult for you, try not to lose your head. It won't help if you shout at them."]	Britain, late 18th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/lose-your-head.mp3	emotion,body,excess,body,l	lose your head	["Overcome%20by%20emotion%20and%20out%20of%20control.","If%20you%20lose%20your%20head%2C%20you%20become%20very%20angry%20about%20something."]	["When%20the%20traffic%20warden%20had%20his%20car%20towed%2C%20Jack%20lost%20his%20head%20and%20hit%20him.","When%20some%20people%20at%20the%20hospital%20said%20they%20wouldn%27t%20help%20my%20injured%20friend%20because%20he%20didn%27t%20have%20his%20ID%20card%2C%20I%20lost%20my%20head%20and%20shouted%2C%20%5C%22What%27s%20wrong%20with%20you%20people%3F%20He%27s%20dying%21%5C%22","If%20you%27re%20in%20a%20government%20office%20and%20an%20official%20is%20making%20life%20difficult%20for%20you%2C%20try%20not%20to%20lose%20your%20head.%20It%20won%27t%20help%20if%20you%20shout%20at%20them."]
Lose your touch	["Lose an ability that you used to possess."]	["Henry used to be sure to hit any number on the dartboard. Since his back operation he couldn't hit a barn door - he's really lost his touch."]	Britain, late 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/lose-your-touch.mp3	failure	lose your touch	["Lose%20an%20ability%20that%20you%20used%20to%20possess."]	["Henry%20used%20to%20be%20sure%20to%20hit%20any%20number%20on%20the%20dartboard.%20Since%20his%20back%20operation%20he%20couldn%27t%20hit%20a%20barn%20door%20-%20he%27s%20really%20lost%20his%20touch."]
lost for words	["You are lost for words if you're so surprised by something that you can't think of anything to say.",""]	["After hearing the news, Kerry was lost for words.","I've never seen our boss lost for words before, but when John called him a fool, he just stood there staring at him. I don't think anyone has ever said that to him before."]				l	lost for words	["You%20are%20lost%20for%20words%20if%20you%27re%20so%20surprised%20by%20something%20that%20you%20can%27t%20think%20of%20anything%20to%20say.",""]	["After%20hearing%20the%20news%2C%20Kerry%20was%20lost%20for%20words.","I%27ve%20never%20seen%20our%20boss%20lost%20for%20words%20before%2C%20but%20when%20John%20called%20him%20a%20fool%2C%20he%20just%20stood%20there%20staring%20at%20him.%20I%20don%27t%20think%20anyone%20has%20ever%20said%20that%20to%20him%20before."]
love at first sight	["If you experience love at first sight, you love someone from the first moment you see them.",""]	["When I saw Kerry, it was love at first sight. I knew straight away that she was the one for me.","Mark says he doesn't believe in love at first sight, but that's just because he's never experienced it."]				l	love at first sight	["If%20you%20experience%20love%20at%20first%20sight%2C%20you%20love%20someone%20from%20the%20first%20moment%20you%20see%20them.",""]	["When%20I%20saw%20Kerry%2C%20it%20was%20love%20at%20first%20sight.%20I%20knew%20straight%20away%20that%20she%20was%20the%20one%20for%20me.","Mark%20says%20he%20doesn%27t%20believe%20in%20love%20at%20first%20sight%2C%20but%20that%27s%20just%20because%20he%27s%20never%20experienced%20it."]
